MI0000092	hsa-mir-91 	hsa-mir-91-13 	MI0000071 	miR-91 is expressed from the 5' arm of the mir-17 precursor hairpin. 
MI0010513	bfl-mir-2074 		MI0010513 	mir-2074 is a fragment of LSU rRNA and so is removed from the database (Peterson K, pers comm). 
MI0007060	gga-mir-1455 		MI0007060 	mir-1455 appears to be a fragment of a tRNA, so is removed from the database 
MI0012955	eca-mir-322 		MI0012963 	mir-322 and mir-424 from Zhou et al map to the same locus, so mir-322 is removed from the database. 
MI0010756	mmu-mir-2143-1 		MI0010756 	miR-2143 is a fragment of 28S rRNA so is removed from the database. 
MI0010757	mmu-mir-2143-2 		MI0010757 	miR-2143 is a fragment of 28S rRNA so is removed from the database. 
MI0010758	mmu-mir-2143-3 		MI0010758 	miR-2143 is a fragment of 28S rRNA so is removed from the database. 
MI0010759	mmu-mir-2144 		MI0010759 	miR-2144 is a fragment of 28S rRNA so is removed from the database. 
MI0005422	cbr-mir-789a 		MI0005422 	cbr-mir-789a appears to be a fragment of a tRNA, so is removed. 
MI0008201	cel-mir-1831 		MI0008201 	mir-1831 appears to be a fragment of a U1 snRNA, so is removed. 
MI0005485	mmu-mir-197 		MI0005485 	Only two clones support the presence of mir-197 in mouse (Landgraf et al), but the sequence does not map in a stem-loop region of the genomic sequence or any any known mouse transcript sequence. It is therefore removed from miRBase. 
MI0004649	mmu-mir-685 		MI0004649 	mir-685 is found to be a fragment of RNase P RNA, so is removed from the database. 
MI0009888	bta-mir-685 		MI0009888 	mir-685 is found to be a fragment of RNase P RNA, so is removed from the database. 
MI0012620	rno-mir-685 		MI0012620 	mir-685 is found to be a fragment of RNase P RNA, so is removed from the database. 
MI0012660	eca-mir-685 		MI0012660 	mir-685 is found to be a fragment of RNase P RNA, so is removed from the database. 
MI0013851	tgu-mir-204-5 		MI0013794 	tgu-mir-204-5 overlaps mir-204-4 in the genome sequence, so is removed. 
MI0004226	mmu-mir-P1087 		MI0014099 	Same locus, different mature miRNAs validated by Chiang and Bartel (MI0014099). 
MI0003813	hsa-mir-P847 		MI0014179 	Berezikov candidate validated by Stark et al. 
MI0004063	hsa-mir-P864 		MI0014182 	Berezikov candidate validated by Stark et al. 
MI0007555	gga-mir-1810 		MI0007555 	mir-1810 is a fragment of 28S rRNA, so is removed from the database. 
MI0005204	mmu-mir-805 		MI0005204 	mir-805 maps to the Mt genome, and overlaps a Mt tRNA sequence so is removed. 
MI0009984	hsa-mir-1974 		MI0009984 	mir-1974 maps to the Mt genome, and overlaps a Mt tRNA sequence so is removed. 
MI0009987	hsa-mir-1977 		MI0009987 	mir-1977 maps to the Mt genome, and overlaps a Mt tRNA sequence so is removed. 
MI0009988	hsa-mir-1978 		MI0009988 	mir-1978 maps to the Mt genome, and overlaps a Mt tRNA sequence so is removed. 
MI0003842	hsa-mir-P501b 		MI0003842 	Berezikov candidate subsequently verified 
MI0008390	bmo-mir-1920 		MI0008390 	The pattern of reads from high throughput sequencing experiments (Jagadeeswaran et al. BMC Genomics, 2010) overlapping this locus is not consistent with microRNA processing from a hairpin precursor. This sequence is therefore removed from the database. 
MI0008391	bmo-mir-1921 		MI0008391 	The pattern of reads from high throughput sequencing experiments (Jagadeeswaran et al. BMC Genomics, 2010) overlapping this locus is not consistent with microRNA processing from a hairpin precursor. This sequence is therefore removed from the database. 
MI0012383	bmo-mir-2815a-1 		MI0012383 	The mir-2815 family are misannotated fragments of tRNAs, so are removed from the database. 
MI0012387	bmo-mir-2815a-7 		MI0012387 	The mir-2815 family are misannotated fragments of tRNAs, so are removed from the database. 
MI0012397	bmo-mir-2815b-1 		MI0012397 	The mir-2815 family are misannotated fragments of tRNAs, so are removed from the database. 
MI0012399	bmo-mir-2815a-2 		MI0012399 	The mir-2815 family are misannotated fragments of tRNAs, so are removed from the database. 
MI0012412	bmo-mir-2815a-3 		MI0012412 	The mir-2815 family are misannotated fragments of tRNAs, so are removed from the database. 
MI0012418	bmo-mir-2815b-2 		MI0012418 	The mir-2815 family are misannotated fragments of tRNAs, so are removed from the database. 
MI0012431	bmo-mir-2815a-4 		MI0012431 	The mir-2815 family are misannotated fragments of tRNAs, so are removed from the database. 
MI0012432	bmo-mir-2815b-3 		MI0012432 	The mir-2815 family are misannotated fragments of tRNAs, so are removed from the database. 
MI0012443	bmo-mir-2815a-5 		MI0012443 	The mir-2815 family are misannotated fragments of tRNAs, so are removed from the database. 
MI0012447	bmo-mir-2815a-6 		MI0012447 	The mir-2815 family are misannotated fragments of tRNAs, so are removed from the database. 
MI0012459	bmo-mir-2815b-4 		MI0012459 	The mir-2815 family are misannotated fragments of tRNAs, so are removed from the database. 
MI0012290	bmo-mir-216 		MI0012290 	The candidate bmo-mir-216 sequence does not adopt a miRNA-like hairpin, so is removed from the database. 
MI0012189	bmo-mir-2740 		MI0012189 	This candidate Bombyx sequence does not adopt a miRNA-like hairpin, so is removed from the database. 
MI0014295	bmo-mir-3240 		MI0014295 	This candidate Bombyx sequence does not adopt a miRNA-like hairpin, so is removed from the database. 
MI0014437	bmo-mir-3376 		MI0014437 	This candidate Bombyx sequence does not adopt a miRNA-like hairpin, so is removed from the database. 
MI0014441	bmo-mir-3380 		MI0014441 	This candidate Bombyx sequence does not adopt a miRNA-like hairpin, so is removed from the database. 
MI0014451	bmo-mir-3390 		MI0014451 	This candidate Bombyx sequence does not adopt a miRNA-like hairpin, so is removed from the database. 
MI0012184	bmo-mir-2735 		MI0012184 	This candidate Bombyx sequence is a fragment of a predicted protein-coding exon, so is removed. 
MI0012194	bmo-mir-2743 		MI0012194 	This candidate Bombyx sequence is a fragment of a predicted protein-coding exon, so is removed. 
MI0012330	bmo-mir-2773-1 		MI0012330 	This candidate Bombyx sequence is a fragment of a predicted protein-coding exon, so is removed. 
MI0012343	bmo-mir-2773-2 		MI0012343 	This candidate Bombyx sequence is a fragment of a predicted protein-coding exon, so is removed. 
MI0012342	bmo-mir-2773-3 		MI0012342 	This candidate Bombyx sequence is a fragment of a predicted protein-coding exon, so is removed. 
MI0012378	bmo-mir-2802 		MI0012378 	This candidate Bombyx sequence is a fragment of a predicted protein-coding exon, so is removed. 
MI0012392	bmo-mir-2811 		MI0012392 	This candidate Bombyx sequence is a fragment of a predicted protein-coding exon, so is removed. 
MI0012417	bmo-mir-2823 		MI0012417 	This candidate Bombyx sequence is a fragment of a predicted protein-coding exon, so is removed. 
MI0012425	bmo-mir-2829 		MI0012425 	This candidate Bombyx sequence is a fragment of a predicted protein-coding exon, so is removed. 
MI0012458	bmo-mir-2844 		MI0012458 	This candidate Bombyx sequence is a fragment of a predicted protein-coding exon, so is removed. 
MI0012470	bmo-mir-2850a-1 		MI0012470 	This candidate Bombyx sequence is a fragment of a predicted protein-coding exon, so is removed. 
MI0012442	bmo-mir-2850a-2 		MI0012442 	This candidate Bombyx sequence is a fragment of a predicted protein-coding exon, so is removed. 
MI0013004	bmo-mir-2850a-3 		MI0013004 	This candidate Bombyx sequence is a fragment of a predicted protein-coding exon, so is removed. 
MI0013005	bmo-mir-2850a-4 		MI0013005 	This candidate Bombyx sequence is a fragment of a predicted protein-coding exon, so is removed. 
MI0012354	bmo-mir-2850b 		MI0012354 	This candidate Bombyx sequence is a fragment of a predicted protein-coding exon, so is removed. 
MI0013001	bmo-mir-2858 		MI0013001 	This candidate Bombyx sequence is a fragment of a predicted protein-coding exon, so is removed. 
MI0012197	bmo-mir-2746 		MI0012197 	This candidate Bombyx sequence is a fragment of U1 RNA. 
MI0012993	bmo-mir-2853 		MI0012993 	This candidate Bombyx sequence is a fragment of U2 RNA. 
MI0012366	bmo-mir-2793 		MI0012366 	This candidate Bombyx sequence is a fragment of a tRNA. 
MI0012172	bmo-mir-2725 		MI0012172 	This length of this candidate Bombyx mature sequences is outside the expected range. The entry is deleted. 
MI0012173	bmo-mir-2726 		MI0012173 	This length of this candidate Bombyx mature sequences is outside the expected range. The entry is deleted. 
MI0012174	bmo-mir-2727 		MI0012174 	This length of this candidate Bombyx mature sequences is outside the expected range. The entry is deleted. 
MI0012176	bmo-mir-2728 		MI0012176 	This length of this candidate Bombyx mature sequences is outside the expected range. The entry is deleted. 
MI0012181	bmo-mir-2732 		MI0012181 	This length of this candidate Bombyx mature sequences is outside the expected range. The entry is deleted. 
MI0012191	bmo-mir-2741 		MI0012191 	This length of this candidate Bombyx mature sequences is outside the expected range. The entry is deleted. 
MI0012198	bmo-mir-2747 		MI0012198 	This length of this candidate Bombyx mature sequences is outside the expected range. The entry is deleted. 
MI0012200	bmo-mir-2749 		MI0012200 	This length of this candidate Bombyx mature sequences is outside the expected range. The entry is deleted. 
MI0014371	bmo-mir-3304b 		MI0014371 	This candidate Bombyx sequence maps many times to the genome, and is lacking miR* evidence, so is deemed to be low confidence and is removed. 
MI0012384	bmo-mir-2806-1 		MI0012384 	This candidate Bombyx sequence maps many times to the genome, and is lacking miR* evidence, so is deemed to be low confidence and is removed. 
MI0012202	bmo-mir-2750 		MI0012202 	This candidate Bombyx sequence maps many times to the genome, and is lacking miR* evidence, so is deemed to be low confidence and is removed. 
MI0012178	bmo-mir-2730 		MI0012178 	This candidate Bombyx sequence maps many times to the genome, and is lacking miR* evidence, so is deemed to be low confidence and is removed. 
MI0014370	bmo-mir-3313 		MI0014370 	This candidate Bombyx sequence maps many times to the genome, and is lacking miR* evidence, so is deemed to be low confidence and is removed. 
MI0014378	bmo-mir-3320 		MI0014378 	This candidate Bombyx sequence maps many times to the genome, and is lacking miR* evidence, so is deemed to be low confidence and is removed. 
MI0014357	bmo-mir-3300 		MI0014357 	This candidate Bombyx sequence maps many times to the genome, and is lacking miR* evidence, so is deemed to be low confidence and is removed. 
MI0014404	bmo-mir-3346 		MI0014404 	This candidate Bombyx sequence maps many times to the genome, and is lacking miR* evidence, so is deemed to be low confidence and is removed. 
MI0014389	bmo-mir-3331 		MI0014389 	This candidate Bombyx sequence maps many times to the genome, and is lacking miR* evidence, so is deemed to be low confidence and is removed. 
MI0014407	bmo-mir-3349 		MI0014407 	This candidate Bombyx sequence maps many times to the genome, and is lacking miR* evidence, so is deemed to be low confidence and is removed. 
MI0012398	bmo-mir-2814-1 		MI0012398 	This candidate Bombyx sequence maps many times to the genome, and is lacking miR* evidence, so is deemed to be low confidence and is removed. 
MI0014399	bmo-mir-3341 		MI0014399 	This candidate Bombyx sequence maps many times to the genome, and is lacking miR* evidence, so is deemed to be low confidence and is removed. 
MI0010755	mmu-mir-2142 		MI0010755 	mir-2142 is a fragment of 5S rRNA (Cei Abreu-Goodger, pers. comm.), so is removed from the database. 
MI0012251	dpu-mir-87 		MI0012251 	The Daphnia mir-87 hairpin reported in Wheeler et al. is Drosophila melanogaster sequence. The Daphnia entry is removed. 
MI0012641	bta-mir-9-3 		MI0009912 	bta-mir-9-3 maps to the same location in the genome assembly as mir-9-1, so is removed. 
MI0013251	zma-MIR160h 		MI0001468 	zma-MIR160h is a duplicate of zma-MIR160b, so is removed. 
MI0012654	eca-mir-204a 		MI0012657 	eca-mir-204a is a duplicate of mir-211 and is removed. 
MI0001253	gga-mir-124b-2 		MI0001252 	mir-124b maps to just one location in the WashU 2.0 assembly, so the entries are merged. 
MI0006985	gga-mir-33-2 		MI0001170 	mir-33 maps to just one location in the WashU 2.0 genome assembly, so entries -1 and -2 are merged. 
MI0001284	gga-mir-218-3 		MI0001212 	mir-218-3 maps to the same locus as mir-218-1, so is removed 
MI0006500	vvi-MIR160e 		MI0006497 	vvi-MIR160e maps to the same genomic location as MIR160b, so is removed. 
MI0007957	vvi-MIR397b 		MI0007956 	vvi-MIR397b maps to the same genomic location as MIR397a, so is removed. 
MI0006582	vvi-MIR535c 		MI0006581 	This sequence maps to the same genomic location as MIR535b, so is removed. 
MI0006584	vvi-MIR535e 		MI0006583 	This sequence maps to the same genomic location as MIR535d, so is removed. 
MI0013754	tgu-mir-2990 		MI0013711 	tgu-mir-2990 is the miR* sequence from the mir-128-2 hairpin. The entries are merged. 
MI0001890	dre-mir-10d-2 		MI0001889 	dre-mir-10d-1 and mir-10d-2 map to the same locus, so are merged. 
MI0014218	hsa-mir-3180-4 		MI0014214 	mir-3180 maps to 3 loci in the GRCh37 genome assembly. The existing 6 entries are collapsed to 3. 
MI0014219	hsa-mir-3180-5 		MI0014215 	mir-3180 maps to 3 loci in the GRCh37 genome assembly. The existing 6 entries are collapsed to 3. 
MI0014220	hsa-mir-3180-6 		MI0014217 	mir-3180 maps to 3 loci in the GRCh37 genome assembly. The existing 6 entries are collapsed to 3. 
MI0001727	hsa-mir-453 		MI0014206 	miR-453 is processed from the 5p arm of mir-323b. The entries are merged. 
MI0010021	bfl-mir-79 		MI0010520 	bfl-miR-79 is processed from the 3p arm of the mir-9 hairpins. Entries merged. 
MI0014708	aae-mir-309a-1 		MI0013477 	This entry is a duplicate of MI0013477, so is removed. 
MI0013525	aae-mir-309a-2 		MI0013478 	This entry is a duplicate of MI0013478, so is removed. 
MI0004114	hsa-mir-P989 		MI0016008 	Candidate Berezikov sequence validated by Witten et al. 
MI0004629	mmu-mir-P989 		MI0016008 	Candidate Berezikov sequence validated by Witten et al. 
MI0014149	hsa-mir-3130-3 		MI0014147 	mir-3130-3 is redundant with mir-3130-1, so is removed. 
MI0014150	hsa-mir-3130-4 		MI0014148 	mir-3130-4 is redundant with mir-3130-2, so is removed. 
MI0000297	hsa-mir-220a 		MI0001386 	mir-220 was predicted computationally by the Bartel group, and expression demonstrated in zebrafish (Lim et al, PMID:12624257). Expression of mir-220 has never been demonstrated in any other animal, but annotation was transferred to other vertebrates by similarity. Subsequent work strongly suggests that mir-220 is not a miRNA (Chiang et al, PMID:20413612), and it is therefore withdrawn by the authors and all mir-220 sequences are deleted from miRBase. 
MI0002887	mml-mir-220a 		MI0001386 	mir-220 was predicted computationally by the Bartel group, and expression demonstrated in zebrafish (Lim et al, PMID:12624257). Expression of mir-220 has never been demonstrated in any other animal, but annotation was transferred to other vertebrates by similarity. Subsequent work strongly suggests that mir-220 is not a miRNA (Chiang et al, PMID:20413612), and it is therefore withdrawn by the authors and all mir-220 sequences are deleted from miRBase.  
MI0002888	ptr-mir-220a 		MI0001386 	mir-220 was predicted computationally by the Bartel group, and expression demonstrated in zebrafish (Lim et al, PMID:12624257). Expression of mir-220 has never been demonstrated in any other animal, but annotation was transferred to other vertebrates by similarity. Subsequent work strongly suggests that mir-220 is not a miRNA (Chiang et al, PMID:20413612), and it is therefore withdrawn by the authors and all mir-220 sequences are deleted from miRBase.  
MI0005529	hsa-mir-220b 		MI0001386 	mir-220 was predicted computationally by the Bartel group, and expression demonstrated in zebrafish (Lim et al, PMID:12624257). Expression of mir-220 has never been demonstrated in any other animal, but annotation was transferred to other vertebrates by similarity. Subsequent work strongly suggests that mir-220 is not a miRNA (Chiang et al, PMID:20413612), and it is therefore withdrawn by the authors and all mir-220 sequences are deleted from miRBase.  
MI0005536	hsa-mir-220c 		MI0001386 	mir-220 was predicted computationally by the Bartel group, and expression demonstrated in zebrafish (Lim et al, PMID:12624257). Expression of mir-220 has never been demonstrated in any other animal, but annotation was transferred to other vertebrates by similarity. Subsequent work strongly suggests that mir-220 is not a miRNA (Chiang et al, PMID:20413612), and it is therefore withdrawn by the authors and all mir-220 sequences are deleted from miRBase.  
MI0007677	mml-mir-220b 		MI0001386 	mir-220 was predicted computationally by the Bartel group, and expression demonstrated in zebrafish (Lim et al, PMID:12624257). Expression of mir-220 has never been demonstrated in any other animal, but annotation was transferred to other vertebrates by similarity. Subsequent work strongly suggests that mir-220 is not a miRNA (Chiang et al, PMID:20413612), and it is therefore withdrawn by the authors and all mir-220 sequences are deleted from miRBase.  
MI0007678	mml-mir-220c 		MI0001386 	mir-220 was predicted computationally by the Bartel group, and expression demonstrated in zebrafish (Lim et al, PMID:12624257). Expression of mir-220 has never been demonstrated in any other animal, but annotation was transferred to other vertebrates by similarity. Subsequent work strongly suggests that mir-220 is not a miRNA (Chiang et al, PMID:20413612), and it is therefore withdrawn by the authors and all mir-220 sequences are deleted from miRBase.  
MI0007679	mml-mir-220d 		MI0001386 	mir-220 was predicted computationally by the Bartel group, and expression demonstrated in zebrafish (Lim et al, PMID:12624257). Expression of mir-220 has never been demonstrated in any other animal, but annotation was transferred to other vertebrates by similarity. Subsequent work strongly suggests that mir-220 is not a miRNA (Chiang et al, PMID:20413612), and it is therefore withdrawn by the authors and all mir-220 sequences are deleted from miRBase.  
MI0008381	xla-mir-220c 		MI0001386 	mir-220 was predicted computationally by the Bartel group, and expression demonstrated in zebrafish (Lim et al, PMID:12624257). Expression of mir-220 has never been demonstrated in any other animal, but annotation was transferred to other vertebrates by similarity. Subsequent work strongly suggests that mir-220 is not a miRNA (Chiang et al, PMID:20413612), and it is therefore withdrawn by the authors and all mir-220 sequences are deleted from miRBase.  
MI0008586	ptr-mir-220b 		MI0001386 	mir-220 was predicted computationally by the Bartel group, and expression demonstrated in zebrafish (Lim et al, PMID:12624257). Expression of mir-220 has never been demonstrated in any other animal, but annotation was transferred to other vertebrates by similarity. Subsequent work strongly suggests that mir-220 is not a miRNA (Chiang et al, PMID:20413612), and it is therefore withdrawn by the authors and all mir-220 sequences are deleted from miRBase.  
MI0010380	cfa-mir-220b 		MI0001386 	mir-220 was predicted computationally by the Bartel group, and expression demonstrated in zebrafish (Lim et al, PMID:12624257). Expression of mir-220 has never been demonstrated in any other animal, but annotation was transferred to other vertebrates by similarity. Subsequent work strongly suggests that mir-220 is not a miRNA (Chiang et al, PMID:20413612), and it is therefore withdrawn by the authors and all mir-220 sequences are deleted from miRBase.  
MI0010381	cfa-mir-220a 		MI0001386 	mir-220 was predicted computationally by the Bartel group, and expression demonstrated in zebrafish (Lim et al, PMID:12624257). Expression of mir-220 has never been demonstrated in any other animal, but annotation was transferred to other vertebrates by similarity. Subsequent work strongly suggests that mir-220 is not a miRNA (Chiang et al, PMID:20413612), and it is therefore withdrawn by the authors and all mir-220 sequences are deleted from miRBase.  
MI0010442	bta-mir-220d 		MI0001386 	mir-220 was predicted computationally by the Bartel group, and expression demonstrated in zebrafish (Lim et al, PMID:12624257). Expression of mir-220 has never been demonstrated in any other animal, but annotation was transferred to other vertebrates by similarity. Subsequent work strongly suggests that mir-220 is not a miRNA (Chiang et al, PMID:20413612), and it is therefore withdrawn by the authors and all mir-220 sequences are deleted from miRBase.  
MI0010448	bta-mir-220e 		MI0001386 	mir-220 was predicted computationally by the Bartel group, and expression demonstrated in zebrafish (Lim et al, PMID:12624257). Expression of mir-220 has never been demonstrated in any other animal, but annotation was transferred to other vertebrates by similarity. Subsequent work strongly suggests that mir-220 is not a miRNA (Chiang et al, PMID:20413612), and it is therefore withdrawn by the authors and all mir-220 sequences are deleted from miRBase.  
MI0010449	bta-mir-220c-2 		MI0001386 	mir-220 was predicted computationally by the Bartel group, and expression demonstrated in zebrafish (Lim et al, PMID:12624257). Expression of mir-220 has never been demonstrated in any other animal, but annotation was transferred to other vertebrates by similarity. Subsequent work strongly suggests that mir-220 is not a miRNA (Chiang et al, PMID:20413612), and it is therefore withdrawn by the authors and all mir-220 sequences are deleted from miRBase.  
MI0010450	bta-mir-220b 		MI0001386 	mir-220 was predicted computationally by the Bartel group, and expression demonstrated in zebrafish (Lim et al, PMID:12624257). Expression of mir-220 has never been demonstrated in any other animal, but annotation was transferred to other vertebrates by similarity. Subsequent work strongly suggests that mir-220 is not a miRNA (Chiang et al, PMID:20413612), and it is therefore withdrawn by the authors and all mir-220 sequences are deleted from miRBase.  
MI0010451	bta-mir-220c-1 		MI0001386 	mir-220 was predicted computationally by the Bartel group, and expression demonstrated in zebrafish (Lim et al, PMID:12624257). Expression of mir-220 has never been demonstrated in any other animal, but annotation was transferred to other vertebrates by similarity. Subsequent work strongly suggests that mir-220 is not a miRNA (Chiang et al, PMID:20413612), and it is therefore withdrawn by the authors and all mir-220 sequences are deleted from miRBase.  
MI0010461	bta-mir-220a 		MI0001386 	mir-220 was predicted computationally by the Bartel group, and expression demonstrated in zebrafish (Lim et al, PMID:12624257). Expression of mir-220 has never been demonstrated in any other animal, but annotation was transferred to other vertebrates by similarity. Subsequent work strongly suggests that mir-220 is not a miRNA (Chiang et al, PMID:20413612), and it is therefore withdrawn by the authors and all mir-220 sequences are deleted from miRBase.  
MI0012588	rno-mir-220-1 		MI0001386 	mir-220 was predicted computationally by the Bartel group, and expression demonstrated in zebrafish (Lim et al, PMID:12624257). Expression of mir-220 has never been demonstrated in any other animal, but annotation was transferred to other vertebrates by similarity. Subsequent work strongly suggests that mir-220 is not a miRNA (Chiang et al, PMID:20413612), and it is therefore withdrawn by the authors and all mir-220 sequences are deleted from miRBase.  
MI0012847	eca-mir-220b 		MI0001386 	mir-220 was predicted computationally by the Bartel group, and expression demonstrated in zebrafish (Lim et al, PMID:12624257). Expression of mir-220 has never been demonstrated in any other animal, but annotation was transferred to other vertebrates by similarity. Subsequent work strongly suggests that mir-220 is not a miRNA (Chiang et al, PMID:20413612), and it is therefore withdrawn by the authors and all mir-220 sequences are deleted from miRBase.  
MI0012848	eca-mir-220b-2 		MI0001386 	mir-220 was predicted computationally by the Bartel group, and expression demonstrated in zebrafish (Lim et al, PMID:12624257). Expression of mir-220 has never been demonstrated in any other animal, but annotation was transferred to other vertebrates by similarity. Subsequent work strongly suggests that mir-220 is not a miRNA (Chiang et al, PMID:20413612), and it is therefore withdrawn by the authors and all mir-220 sequences are deleted from miRBase.  
MI0014870	ppy-mir-220a 		MI0001386 	mir-220 was predicted computationally by the Bartel group, and expression demonstrated in zebrafish (Lim et al, PMID:12624257). Expression of mir-220 has never been demonstrated in any other animal, but annotation was transferred to other vertebrates by similarity. Subsequent work strongly suggests that mir-220 is not a miRNA (Chiang et al, PMID:20413612), and it is therefore withdrawn by the authors and all mir-220 sequences are deleted from miRBase.  
MI0014871	ppy-mir-220b 		MI0001386 	mir-220 was predicted computationally by the Bartel group, and expression demonstrated in zebrafish (Lim et al, PMID:12624257). Expression of mir-220 has never been demonstrated in any other animal, but annotation was transferred to other vertebrates by similarity. Subsequent work strongly suggests that mir-220 is not a miRNA (Chiang et al, PMID:20413612), and it is therefore withdrawn by the authors and all mir-220 sequences are deleted from miRBase.  
MI0014872	ppy-mir-220c 		MI0001386 	mir-220 was predicted computationally by the Bartel group, and expression demonstrated in zebrafish (Lim et al, PMID:12624257). Expression of mir-220 has never been demonstrated in any other animal, but annotation was transferred to other vertebrates by similarity. Subsequent work strongly suggests that mir-220 is not a miRNA (Chiang et al, PMID:20413612), and it is therefore withdrawn by the authors and all mir-220 sequences are deleted from miRBase.  
MI0015967	rno-mir-220-2 		MI0001386 	mir-220 was predicted computationally by the Bartel group, and expression demonstrated in zebrafish (Lim et al, PMID:12624257). Expression of mir-220 has never been demonstrated in any other animal, but annotation was transferred to other vertebrates by similarity. Subsequent work strongly suggests that mir-220 is not a miRNA (Chiang et al, PMID:20413612), and it is therefore withdrawn by the authors and all mir-220 sequences are deleted from miRBase.  
MI0001386	dre-mir-220 		MI0001386 	mir-220 was predicted computationally by the Bartel group, and expression demonstrated in zebrafish (Lim et al, PMID:12624257). Expression of mir-220 has never been demonstrated in any other animal, but annotation was transferred to other vertebrates by similarity. Subsequent work strongly suggests that mir-220 is not a miRNA (Chiang et al, PMID:20413612), and it is therefore withdrawn by the authors and all mir-220 sequences are deleted from miRBase.  
MI0002889	ggo-mir-220 		MI0001386 	mir-220 was predicted computationally by the Bartel group, and expression demonstrated in zebrafish (Lim et al, PMID:12624257). Expression of mir-220 has never been demonstrated in any other animal, but annotation was transferred to other vertebrates by similarity. Subsequent work strongly suggests that mir-220 is not a miRNA (Chiang et al, PMID:20413612), and it is therefore withdrawn by the authors and all mir-220 sequences are deleted from miRBase.  
MI0002890	mne-mir-220 		MI0001386 	mir-220 was predicted computationally by the Bartel group, and expression demonstrated in zebrafish (Lim et al, PMID:12624257). Expression of mir-220 has never been demonstrated in any other animal, but annotation was transferred to other vertebrates by similarity. Subsequent work strongly suggests that mir-220 is not a miRNA (Chiang et al, PMID:20413612), and it is therefore withdrawn by the authors and all mir-220 sequences are deleted from miRBase.  
MI0002891	ppa-mir-220 		MI0001386 	mir-220 was predicted computationally by the Bartel group, and expression demonstrated in zebrafish (Lim et al, PMID:12624257). Expression of mir-220 has never been demonstrated in any other animal, but annotation was transferred to other vertebrates by similarity. Subsequent work strongly suggests that mir-220 is not a miRNA (Chiang et al, PMID:20413612), and it is therefore withdrawn by the authors and all mir-220 sequences are deleted from miRBase.  
MI0005487	mmu-mir-220 		MI0001386 	mir-220 was predicted computationally by the Bartel group, and expression demonstrated in zebrafish (Lim et al, PMID:12624257). Expression of mir-220 has never been demonstrated in any other animal, but annotation was transferred to other vertebrates by similarity. Subsequent work strongly suggests that mir-220 is not a miRNA (Chiang et al, PMID:20413612), and it is therefore withdrawn by the authors and all mir-220 sequences are deleted from miRBase.  
MI0006441	hsa-mir-1308 		MI0006441 	The mature miR-1308 is a fragment of a tRNA, and is therefore removed. 
MI0013116	ssc-mir-1308 		MI0013116 	The mature miR-1308 is a fragment of a tRNA, and is therefore removed. 
MI0012639	peu-MIR2915 		MI0012639 	The mature miR2915 is a fragment of a tRNA, and is therefore removed. 
MI0014126	oar-mir-3114 		MI0014126 	The mature miR-3114 is a fragment of a tRNA, and is therefore removed. 
MI0015942	bta-mir-3114 		MI0015942 	The mature miR-3114 is a fragment of a tRNA, and is therefore removed. 
MI0007783	mml-mir-512-2 		MI0007782 	Previously annotated mir-512-1 and mir-512-2 map to same location in the MMUL1.0 genome assembly. 
MI0001911	dre-mir-22a-2 		MI0001910 	Previously annotated mir-22a-1 and mir-22a-2 map to same location in the Zv8 genome assembly. 
MI0002043	dre-mir-204-3 		MI0002042 	Previously annotated mir-204-2 and mir-204-3 map to same location in the Zv8 genome assembly. 
MI0007781	mml-mir-511-2 		MI0007780 	Previously annotated mir-511-1 and mir-511-2 map to same location in the MMUL1.0 genome assembly. 
MI0007784	mml-mir-514-2 		MI0006621 	Previously annotated mir-514-1 and mir-514-2 map to same location in the MMUL1.0 genome assembly. 
MI0007788	mml-mir-517b 		MI0007787 	Previously annotated mir-517a and mir-517b map to same location in the MMUL1.0 genome assembly. 
MI0007811	mml-mir-523c-1 		MI0007796 	Two annotated mir-523c sequences map to the location as mir-519b in the MMUL1.0 genome assembly. The mir-523c loci are removed. 
MI0007812	mml-mir-523c-2 		MI0007796 	Two annotated mir-523c sequences map to the location as mir-519b in the MMUL1.0 genome assembly. The mir-523c loci are removed. 
MI0007800	mml-mir-520b 		MI0007795 	Three annotated mir-520 sequences map to the location as mir-519a in the MMUL1.0 genome assembly. The mir-520 loci are removed. 
MI0007801	mml-mir-520c 		MI0007795 	Three annotated mir-520 sequences map to the location as mir-519a in the MMUL1.0 genome assembly. The mir-520 loci are removed. 
MI0007803	mml-mir-520e 		MI0007795 	Three annotated mir-520 sequences map to the location as mir-519a in the MMUL1.0 genome assembly. The mir-520 loci are removed. 
MI0007804	mml-mir-520f 		MI0007795 	Three annotated mir-520 sequences map to the location as mir-519a in the MMUL1.0 genome assembly. The mir-520 loci are removed. 
MI0007806	mml-mir-520h 		MI0007798 	mir-520h maps to the same location as mir-519d in the MMUL1.0 genome assembly. 
MI0007808	mml-mir-522 		MI0007793 	mir-522 maps to the same location as mir-518e in the MMUL1.0 genome assembly. 
MI0007802	mml-mir-520d 		MI0007789 	mir-520d maps to the same location as mir-518a in the MMUL1.0 genome assembly. 
MI0007792	mml-mir-518d 		MI0007791 	mir-518d maps to the same location as mir-518c in the MMUL1.0 genome assembly. 
MI0010738	mmu-mir-2133-1 		MI0010738 	The mature sequence annotated as miR-2133 is a fragment of SSU rRNA. 
MI0010739	mmu-mir-2133-2 		MI0010739 	The mature sequence annotated as miR-2133 is a fragment of SSU rRNA. 
